Model class,Model,Predictors,Precision,Recall,Specificity,Accuracy
Benchmark,LogisticRegression @P>=0.5,mc ,0.48,0.54,0.696,0.64
Benchmark,LogisticRegression @P>=0.5,mc ,0.45,0.58,0.63,0.61
Benchmark,LogisticRegression @P>=0.5,mc ,0.54,0.79,0.652,0.7
Benchmark,LogisticRegression @P>=0.5,mc ,0.5,0.62,0.674,0.66
Benchmark,LogisticRegression @P>=0.5,mc ,0.5,0.62,0.674,0.66
Benchmark,LogisticRegression @P>=0.5,mc ,0.46,0.71,0.565,0.61
Benchmark,LogisticRegression @P>=0.5,mc ,0.46,0.54,0.674,0.63
Benchmark,LogisticRegression @P>=0.5,mc ,0.56,0.75,0.696,0.71
Benchmark,LogisticRegression @P>=0.5,mc ,0.43,0.62,0.565,0.59
Benchmark,LogisticRegression @P>=0.5,mc ,0.5,0.62,0.674,0.66
Best model,Voting_Clf_log_SVM @P>=0.43,mctc,0.53,0.67,0.696,0.69
Best model,Voting_Clf_log_SVM @P>=0.43,mctc,0.5,0.62,0.674,0.66
Best model,Voting_Clf_log_SVM @P>=0.43,mctc,0.54,0.58,0.739,0.69
Best model,Voting_Clf_log_SVM @P>=0.43,mctc,0.52,0.62,0.696,0.67
Best model,Voting_Clf_log_SVM @P>=0.43,mctc,0.56,0.62,0.739,0.7
Best model,Voting_Clf_log_SVM @P>=0.43,mctc,0.52,0.58,0.717,0.67
Best model,Voting_Clf_log_SVM @P>=0.43,mctc,0.59,0.67,0.761,0.73
Best model,Voting_Clf_log_SVM @P>=0.43,mctc,0.54,0.62,0.717,0.69
Best model,Voting_Clf_log_SVM @P>=0.43,mctc,0.47,0.62,0.63,0.63
Best model,Voting_Clf_log_SVM @P>=0.43,mctc,0.61,0.58,0.804,0.73
NextBest model,LogisticRegression @P>=0.43,mctc,0.48,0.67,0.63,0.64
NextBest model,LogisticRegression @P>=0.43,mctc,0.47,0.62,0.63,0.63
NextBest model,LogisticRegression @P>=0.43,mctc,0.55,0.67,0.717,0.7
NextBest model,LogisticRegression @P>=0.43,mctc,0.5,0.67,0.652,0.66
NextBest model,LogisticRegression @P>=0.43,mctc,0.55,0.67,0.717,0.7
NextBest model,LogisticRegression @P>=0.43,mctc,0.52,0.58,0.717,0.67
NextBest model,LogisticRegression @P>=0.43,mctc,0.57,0.71,0.717,0.71
NextBest model,LogisticRegression @P>=0.43,mctc,0.54,0.62,0.717,0.69
NextBest model,LogisticRegression @P>=0.43,mctc,0.47,0.62,0.63,0.63
NextBest model,LogisticRegression @P>=0.43,mctc,0.56,0.58,0.761,0.7
